Node(i)	   Node(j)               Distance(i,j)
1             2                      27.00
1             3                       7.00
2             1                      27.00
2             6                       7.00
3             1                       7.00
3             4                       8.00
3             12                     12.00
4             3                       8.00
4             5                       9.00
4             11                     12.00
5             4                       9.00
5             6                      10.00
5             9                       6.00
6             2                       7.00
6             5                      10.00
6             8                       6.00
7             8                      10.00
7             18                      6.00
8             6                       6.00
8             7                      10.00
8             9                      10.00
8             16                      6.00
9             5                       6.00
9             8                      10.00
9             10                      6.00
10            9                       6.00
10            11                      9.00
10            15                     13.00
10            16                     10.00
10            17                     11.66
11            4                      12.00
11            10                      9.00
11            12                      8.00
11            14                     13.00
12            3                      12.00
12            11                      8.00
12            13                     27.00
13            12                     27.00
13            24                      8.00
14            11                     13.00
14            15                      9.00
14            23                      6.00
15            10                     13.00
15            14                      9.00
15            19                     10.00
15            22                      6.00
16            8                       6.00
16            10                     10.00
16            17                      6.00
16            18                     10.00
17            10                     11.66
17            16                      6.00
17            19                      7.00
18            7                       6.00
18            16                     10.00
18            20                     28.79
19            15                     10.00
19            17                      7.00
19            20                     14.00
20            18                     28.79
20            19                     14.00
20            21                     10.00
20            22                     12.81
21            20                     10.00
21            22                      8.00
21            24                      9.00
22            15                      6.00
22            20                     12.81
22            21                      8.00
22            23                      9.00
23            14                      6.00
23            22                      9.00
23            24                      8.00
24            13                      8.00
24            21                      9.00
24            23                      8.00
