Num          Origin          Destination                 Flow
1              15              19                        8.80
2              5               15                        2.20
3              16              3                         2.20
4              13              3                         1.10
5              6               22                        2.20
6              17              8                        15.40
7              4               15                        5.50
8              4               24                        2.20
9              1               14                        3.30
10             5               6                         2.20
11             6               11                        4.40
12             12              18                        2.20
13             16              19                       14.30
14             18              13                        1.10
15             12              5                         2.20
16             8               21                        4.40
17             24              21                        5.50
18             12              6                         2.20
19             5               14                        1.10
20             19              17                       18.70
21             5               9                         8.80
22             4               18                        1.10
23             16              1                         5.50
24             20              23                        7.70
25             12              11                       15.40
26             3               12                        2.20
27             18              6                         1.10
28             20              18                        4.40
29             9               12                        6.60
30             5               1                         2.20
31             16              10                       48.40
32             22              10                       28.60
33             20              12                        5.50
34             22              13                       14.30
35             4               7                         4.40
36             3               1                         1.10
37             6               10                        8.80
38             2               19                        1.10
39             15              10                       44.00
40             12              24                        5.50
41             8               3                         2.20
42             15              14                       14.30
43             1               9                         5.50
44             11              22                       12.10
45             13              23                        8.80
46             14              23                       12.10
47             22              23                       23.10
48             12              16                        7.70
49             6               20                        3.30
50             8               24                        2.20
51             11              21                        4.40
52             23              7                         2.20
53             11              14                       17.60
54             19              10                       19.80
55             6               15                        2.20
56             20              7                         5.50
57             2               5                         1.10
58             6               16                        9.90
59             10              11                       44.00
60             17              24                        3.30
61             15              6                         2.20
62             19              24                        1.10
63             24              10                        8.80
64             7               11                        5.50
65             8               11                        8.80
66             15              7                         5.50
67             23              20                        7.70
68             23              17                        6.60
69             9               3                         1.10
70             13              5                         2.20
71             7               19                        4.40
72             9               5                         8.80
73             21              14                        4.40
74             6               3                         3.30
75             2               22                        1.10
76             9               21                        3.30
77             16              13                        6.60
78             6               17                        5.50
79             18              12                        2.20
80             18              22                        3.30
81             4               21                        2.20
82             17              22                       18.70
83             4               14                        5.50
84             7               12                        7.70
85             12              14                        7.70
86             8               9                         8.80
87             22              6                         2.20
88             16              17                       30.80
89             21              11                        4.40
90             9               8                         8.80
91             21              17                        6.60
92             20              19                       13.20
93             21              7                         2.20
94             10              7                        20.90
95             16              11                       15.40
96             3               11                        3.30
97             6               13                        2.20
98             19              12                        3.30
