Node   			 X  		  Y
1                      5.00           51.00
2                     32.00           51.00
3                      5.00           44.00
4                     13.00           44.00
5                     22.00           44.00
6                     32.00           44.00
7                     42.00           38.00
8                     32.00           38.00
9                     22.00           38.00
10                    22.00           32.00
11                    13.00           32.00
12                     5.00           32.00
13                     5.00            5.00
14                    13.00           19.00
15                    22.00           19.00
16                    32.00           32.00
17                    32.00           26.00
18                    42.00           32.00
19                    32.00           19.00
20                    32.00            5.00
21                    22.00            5.00
22                    22.00           13.00
23                    13.00           13.00
24                    13.00            5.00
